AAPL_175.0_2025-05-09,AAPL,175.0,20.45,2025-05-09,2025-04-06T09:43:31.026679
AAPL_120.0_2025-05-16,AAPL,120.0,104.55,2025-05-16,2025-04-06T09:43:31.336310
AAPL_145.0_2025-04-17,AAPL,145.0,48.25,2025-04-17,2025-04-06T09:43:31.726936
AAPL_145.0_2025-04-25,AAPL,145.0,47.66,2025-04-25,2025-04-06T09:43:31.983660
AAPL_160.0_2025-05-02,AAPL,160.0,34.55,2025-05-02,2025-04-06T09:43:32.339937
AAPL_185.0_2025-05-09,AAPL,185.0,23.05,2025-05-09,2025-04-06T09:43:32.679726
AAPL_150.0_2025-04-17,AAPL,150.0,40.41,2025-04-17,2025-04-06T09:45:21.103473
AAPL_150.0_2025-04-25,AAPL,150.0,40.91,2025-04-25,2025-04-06T09:45:21.434981
AAPL_165.0_2025-05-02,AAPL,165.0,40.5,2025-05-02,2025-04-06T09:45:21.949966
AAPL_190.0_2025-05-09,AAPL,190.0,11.5,2025-05-09,2025-04-06T09:45:22.572270
AAPL_155.0_2025-04-17,AAPL,155.0,34.65,2025-04-17,2025-04-06T10:51:35.980350
AAPL_155.0_2025-04-25,AAPL,155.0,41.4,2025-04-25,2025-04-06T10:51:36.075912
AAPL_170.0_2025-05-02,AAPL,170.0,34.25,2025-05-02,2025-04-06T10:51:36.188073
AAPL_195.0_2025-05-09,AAPL,195.0,15.37,2025-05-09,2025-04-06T10:51:36.295594
AAPL_125.0_2025-05-16,AAPL,125.0,98.0,2025-05-16,2025-04-06T10:51:36.417317
AAPL_160.0_2025-04-17,AAPL,160.0,30.6,2025-04-17,2025-04-06T10:51:36.502129
AAPL_160.0_2025-04-25,AAPL,160.0,32.45,2025-04-25,2025-04-06T10:51:36.532834
AAPL_175.0_2025-05-02,AAPL,175.0,29.75,2025-05-02,2025-04-06T10:51:36.562634
AAPL_200.0_2025-05-09,AAPL,200.0,6.65,2025-05-09,2025-04-06T10:51:36.594778
AAPL_130.0_2025-05-16,AAPL,130.0,76.0,2025-05-16,2025-04-06T10:51:36.621741
AAPL_165.0_2025-04-17,AAPL,165.0,26.1,2025-04-17,2025-04-06T10:51:36.750742
AAPL_165.0_2025-04-25,AAPL,165.0,26.9,2025-04-25,2025-04-06T10:51:36.794424
AAPL_180.0_2025-05-02,AAPL,180.0,16.95,2025-05-02,2025-04-06T10:51:36.827539
AAPL_205.0_2025-05-09,AAPL,205.0,9.92,2025-05-09,2025-04-06T10:51:36.867778
AAPL_135.0_2025-05-16,AAPL,135.0,62.87,2025-05-16,2025-04-06T10:51:36.913595
AAPL_170.0_2025-04-17,AAPL,170.0,21.85,2025-04-17,2025-04-06T10:51:37.192082
AAPL_170.0_2025-04-25,AAPL,170.0,23.8,2025-04-25,2025-04-06T10:51:37.283607
AAPL_185.0_2025-05-02,AAPL,185.0,13.9,2025-05-02,2025-04-06T10:51:37.378005
AAPL_210.0_2025-05-09,AAPL,210.0,3.54,2025-05-09,2025-04-06T10:51:37.467065
AAPL_140.0_2025-05-16,AAPL,140.0,51.0,2025-05-16,2025-04-06T10:51:37.498606
AAPL_175.0_2025-04-17,AAPL,175.0,18.15,2025-04-17,2025-04-06T10:51:37.653632
AAPL_175.0_2025-04-25,AAPL,175.0,19.8,2025-04-25,2025-04-06T10:51:37.690302
AAPL_190.0_2025-05-02,AAPL,190.0,10.85,2025-05-02,2025-04-06T10:51:37.724645
AAPL_215.0_2025-05-09,AAPL,215.0,2.48,2025-05-09,2025-04-06T10:51:37.755540
AAPL_145.0_2025-05-16,AAPL,145.0,78.55,2025-05-16,2025-04-06T10:51:37.787301
AAPL_180.0_2025-04-17,AAPL,180.0,14.08,2025-04-17,2025-04-06T10:51:37.872399
AAPL_180.0_2025-04-25,AAPL,180.0,16.8,2025-04-25,2025-04-06T10:51:37.900535
AAPL_185.0_2025-04-17,AAPL,185.0,10.6,2025-04-17,2025-04-06T10:53:47.805725
AAPL_185.0_2025-04-25,AAPL,185.0,12.15,2025-04-25,2025-04-06T10:53:48.169725
AAPL_195.0_2025-05-02,AAPL,195.0,8.24,2025-05-02,2025-04-06T10:53:48.522335
AAPL_190.0_2025-04-17,AAPL,190.0,7.78,2025-04-17,2025-04-06T10:53:49.434792
AAPL_190.0_2025-04-25,AAPL,190.0,9.3,2025-04-25,2025-04-06T10:53:49.742388
AAPL_200.0_2025-05-02,AAPL,200.0,6.15,2025-05-02,2025-04-06T10:53:50.057072
AAPL_220.0_2025-05-09,AAPL,220.0,1.7,2025-05-09,2025-04-06T10:53:50.385411
AAPL_150.0_2025-05-16,AAPL,150.0,42.0,2025-05-16,2025-04-06T10:53:50.658239
AAPL_192.5_2025-04-17,AAPL,192.5,6.5,2025-04-17,2025-04-06T10:53:50.937563
AAPL_195.0_2025-04-25,AAPL,195.0,6.67,2025-04-25,2025-04-06T10:53:51.247978
AAPL_205.0_2025-05-02,AAPL,205.0,4.29,2025-05-02,2025-04-06T10:53:51.484987
AAPL_225.0_2025-05-09,AAPL,225.0,1.18,2025-05-09,2025-04-06T10:53:51.802383
AAPL_195.0_2025-04-17,AAPL,195.0,5.34,2025-04-17,2025-04-06T10:53:52.538826
AAPL_200.0_2025-04-25,AAPL,200.0,4.55,2025-04-25,2025-04-06T10:53:52.845652
AAPL_210.0_2025-05-02,AAPL,210.0,3.02,2025-05-02,2025-04-06T10:53:53.175215
AAPL_230.0_2025-05-09,AAPL,230.0,0.81,2025-05-09,2025-04-06T10:53:53.501592
AAPL_155.0_2025-05-16,AAPL,155.0,37.85,2025-05-16,2025-04-06T10:53:53.746751
AAPL_197.5_2025-04-17,AAPL,197.5,4.55,2025-04-17,2025-04-06T10:53:54.164210
